GSE,GSE_title,GSE_type,GSM,title,source_name_ch1,organism_ch1,characteristics_ch1,platform_id,instrument_model,library_strategy,library_source,supplementary_file,data_completeness
GSE72713,Transcriptome analysis of eosinophilic and noneosinophilic chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM1868853,ECRSwNP1,Nasal polyp,Homo sapiens,tissue: Nasal polyp | diagnosis: Eosinophilic chronic rhinosinusitis with nasal polyps,GPL11154,Illumina HiSeq 2000,RNA-Seq,transcriptomic,GSE72713_RNA-seq_processed_data.txt.gz,complete
GSE72713,Transcriptome analysis of eosinophilic and noneosinophilic chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM1868854,ECRSwNP2,Nasal polyp,Homo sapiens,tissue: Nasal polyp | diagnosis: Eosinophilic chronic rhinosinusitis with nasal polyps,GPL11154,Illumina HiSeq 2000,RNA-Seq,transcriptomic,GSE72713_RNA-seq_processed_data.txt.gz,complete
GSE72713,Transcriptome analysis of eosinophilic and noneosinophilic chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM1868855,ECRSwNP3,Nasal polyp,Homo sapiens,tissue: Nasal polyp | diagnosis: Eosinophilic chronic rhinosinusitis with nasal polyps,GPL11154,Illumina HiSeq 2000,RNA-Seq,transcriptomic,GSE72713_RNA-seq_processed_data.txt.gz,complete
GSE72713,Transcriptome analysis of eosinophilic and noneosinophilic chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM1868856,nonECRSwNP1,Nasal polyp,Homo sapiens,tissue: Nasal polyp | diagnosis: Noneosinophilic chronic rhinosinusitis with nasal polyps,GPL11154,Illumina HiSeq 2000,RNA-Seq,transcriptomic,GSE72713_RNA-seq_processed_data.txt.gz,complete
GSE72713,Transcriptome analysis of eosinophilic and noneosinophilic chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM1868857,nonECRSwNP2,Nasal polyp,Homo sapiens,tissue: Nasal polyp | diagnosis: Noneosinophilic chronic rhinosinusitis with nasal polyps,GPL11154,Illumina HiSeq 2000,RNA-Seq,transcriptomic,GSE72713_RNA-seq_processed_data.txt.gz,complete
GSE72713,Transcriptome analysis of eosinophilic and noneosinophilic chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM1868858,nonECRSwNP3,Nasal polyp,Homo sapiens,tissue: Nasal polyp | diagnosis: Noneosinophilic chronic rhinosinusitis with nasal polyps,GPL11154,Illumina HiSeq 2000,RNA-Seq,transcriptomic,GSE72713_RNA-seq_processed_data.txt.gz,complete
GSE72713,Transcriptome analysis of eosinophilic and noneosinophilic chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM1868859,control1,Normal sinus mucosa,Homo sapiens,tissue: Normal sinus mucosa | diagnosis: Healthy control,GPL11154,Illumina HiSeq 2000,RNA-Seq,transcriptomic,GSE72713_RNA-seq_processed_data.txt.gz,complete
GSE72713,Transcriptome analysis of eosinophilic and noneosinophilic chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM1868860,control2,Normal sinus mucosa,Homo sapiens,tissue: Normal sinus mucosa | diagnosis: Healthy control,GPL11154,Illumina HiSeq 2000,RNA-Seq,transcriptomic,GSE72713_RNA-seq_processed_data.txt.gz,complete
GSE72713,Transcriptome analysis of eosinophilic and noneosinophilic chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM1868861,control3,Normal sinus mucosa,Homo sapiens,tissue: Normal sinus mucosa | diagnosis: Healthy control,GPL11154,Illumina HiSeq 2000,RNA-Seq,transcriptomic,GSE72713_RNA-seq_processed_data.txt.gz,complete
GSE172305,S100A8 Enhances IL-1beta Production from Nasal Epithelial Cells in Eosinophilic Chronic Rhinosinusitis,Expression profiling by high throughput sequencing,GSM5252189,NECRS_rep1,Nasal polyp tissue,Homo sapiens,tissue: Nasal polyp | diagnosis: Non-eosinophilic CRS,GPL18573,Illumina NextSeq 500,RNA-Seq,transcriptomic,GSE172305_RAW.tar,complete
