primerid,logFC,pvalue,padj,regulation
ABCG1,,0.0333446455321418,0.195026290423398,stable
ABLIM2,,0.255411345304793,0.580877744530416,stable
ACOT11,,0.178719657613694,0.491010807014279,stable
ACOXL,,0.12591177657836,0.411646311017351,stable
ACTR3B,,0.00526689814005595,0.0582917602337816,stable
ADARB1,,0.01336788574967,0.108794297872148,stable
ADRBK2,,0.0203990163866061,0.145313272907851,stable
AGBL3,,0.204485711150009,0.522171157948134,stable
AGPAT5,,0.074061774918292,0.310102949305003,stable
AIF1L,,0.125395821938685,0.411168207847008,stable
AIRIM,,0.00110302529985118,0.0181228242814259,stable
AJUBA-DT,,0.0843270433898701,0.333488766870842,stable
AMDHD1,,0.261202197850588,0.586217609077056,stable
AMER1,,0.0599249250667887,0.274147561383392,stable
ANGPT2,,0.374969301495239,0.694699112076054,stable
ANGPTL2,,0.0334336550173804,0.195186896623163,stable
ANK2,,0.147495968534457,0.445919616337326,stable
ANKDD1B,,0.162873518030107,0.467582405918279,stable
ANKRD18A,,0.000211060176741417,0.00515999920097417,stable
ANKS1B,,0.0947323808294762,0.354564795854108,stable
APLP1,,0.00866032555168441,0.0823489903421568,stable
APOL4,,0.0631992722474322,0.282848937799842,stable
APOLD1,,0.11712420301879,0.398033432777782,stable
APRG1,,0.183642395653613,0.496017536020892,stable
AQP5-AS1,,0.0834506292250966,0.331739997283766,stable
ARHGAP33,,0.0215799284531997,0.150687333745422,stable
ARHGEF19,,0.175037936578085,0.485826024780436,stable
ASAH1-AS1,,0.263296373088855,0.588828185993078,stable
ASCL5,,0.107422948071364,0.380178956926564,stable
ASMTL-AS1,,0.111461113738495,0.38663469192377,stable
ASTN2,,0.0821674765020033,0.329053468608794,stable
ATP13A4-AS1,,0.267708610609865,0.593699211918539,stable
ATP13A5,,0.0513330417412627,0.249501034689938,stable
ATP6V0E2-AS1,,0.332287172704679,0.657938427786471,stable
ATXN7L1,,0.00330201676913424,0.0416551630401414,stable
ATXN7L2,,0.0422508426885206,0.226226150251632,stable
B3GNT4,,0.0887368773050995,0.341731717911405,stable
BAMBI,,0.342509753387424,0.667496700447843,stable
BBS5,,0.0150092207653235,0.118369493313106,stable
BEND3,,0.192338200712825,0.507770812841097,stable
BIK,,0.272248088964598,0.599524525221267,stable
BOK-AS1,,0.0542884978711641,0.257517500185142,stable
BTBD8,,0.0167379586915125,0.126847369525758,stable
BTG1-DT,,0.0441423722109947,0.231586419702661,stable
C10orf2,,0.330894740350872,0.656739293075022,stable
C11orf48,,0.140746779197386,0.434247508558518,stable
C13orf45,,0.1534746849653,0.45453255257144,stable
C16orf46,,0.0596870614490177,0.273571293270638,stable
C16orf86,,0.127580369790919,0.414661643266204,stable
C17orf58,,0.0268299325048486,0.170578694783901,stable
C19orf81,,0.0743879938814508,0.310878234942514,stable
C1orf74,,0.0238596192841914,0.15931839684306,stable
C2orf44,,0.0678897524637312,0.295072560359298,stable
C2orf49-DT,,0.00560265809280832,0.0611981317057951,stable
C4orf21,,0.0100677419262149,0.0912291158680878,stable
C7orf25,,0.0895545525541286,0.34338608858898,stable
C9orf169,,0.0795225549718715,0.323272092631689,stable
C9orf40,,0.326647152085352,0.653672129653256,stable
C9orf91,,0.0589398911931646,0.271163428658353,stable
C9orf96,,0.203244504876004,0.520633031769546,stable
CACNA1F,,0.104411250891694,0.375278780035303,stable
CACNA1S,,0.0923430967476147,0.349582537826832,stable
CAMK1D,,0.00223210425773914,0.0312188128679671,stable
CAND2,,0.271024850582859,0.598123808182862,stable
CASC10,,0.194636025073381,0.511003172357606,stable
CATSPER2,,0.0574403605549897,0.266774683671806,stable
CATSPERG,,7.44984648000907e-05,0.00213271483305927,stable
CBLN3,,0.0210488417749653,0.148557183520309,stable
CCDC138,,0.0689075359059959,0.297852092968492,stable
CCDC141,,0.0340330586019807,0.197540412322228,stable
CCDC142,,0.0163834641482394,0.125091483915102,stable
CCDC40,,0.018596578167707,0.135950342601678,stable
CCNF,,0.777277318758507,0.928691031619978,stable
CCNY-AS1,,0.0158468625399359,0.122292959399101,stable
CCRN4L,,0.0227331157520963,0.154813151506198,stable
CD3E,,0.108051507957287,0.381519824745777,stable
CD68,,0.0402982434238261,0.21959272034602,stable
CDHR3,,0.01546131526996,0.120539136562822,stable
CDKL3,,0.0308122532170783,0.185338119665993,stable
CDON,,6.30340759093349e-07,3.33562140223251e-05,stable
CENPJ,,0.00923221898243306,0.0862055787779935,stable
CENPL,,0.0739939890325466,0.310079712695869,stable
CEP72,,0.32197376966054,0.648189617972734,stable
CEP85L,,0.0222415959838905,0.153172546088494,stable
CFAP184,,0.327686633473614,0.654531332061326,stable
CFAP418,,0.112195355993667,0.387607595025103,stable
CFLAR-AS1,,0.00963218024774702,0.0886128329038692,stable
CHDH,,0.148056748868038,0.446434558007621,stable
CLTCL1,,0.00835233087223099,0.0803773516280349,stable
CMTM3,,0.288976915267065,0.616494526369615,stable
CNTLN,,0.134628270602054,0.425680868162429,stable
CRYGS,,0.0817174089478169,0.328050445641416,stable
CST7,,0.0461635499965317,0.236704377163424,stable
CYP4F35P,,0.0150791627942094,0.118604271366666,stable
DAPL1,,0.151685114980865,0.45202312177623,stable
DDX11,,0.000718999345302909,0.0131179820850489,stable
DEGS2,,0.206382981679125,0.523966709509501,stable
DENND5B,,0.242346777382479,0.567192610898607,stable
DKFZP667F0711,,0.082111836190331,0.329053468608794,stable
DRC12,,0.222971226970238,0.543489586936029,stable
DSP-AS1,,0.218120508228701,0.538538697755531,stable
DTWD2,,0.0508154446417564,0.247971255609114,stable
DUSP5,,0.53029802558655,0.810426031409126,stable
DYNLT2,,0.010339143577063,0.0926320075687763,stable
DYNLT4,,0.277802146187699,0.605731990489844,stable
EBLN2,,0.0906157684559931,0.34549220388995,stable
EDA2R,,0.171388477664503,0.481107631885441,stable
EDAR,,0.0648612139441263,0.287061361061912,stable
EDNRB,,0.181854831860287,0.494605010020581,stable
EFCAB11,,0.0416756470925744,0.224622182565974,stable
EFHD1,,0.175700394436886,0.486359062861525,stable
EFNA5,,0.204826595009824,0.522515235489237,stable
EFNB1,,0.045437426637779,0.235250784930203,stable
EHBP1-AS1,,0.210268932289344,0.52963680781062,stable
ELAPOR1,,0.176407723825737,0.487469390482361,stable
ELL3,,0.137522718613469,0.430167672638628,stable
EML5,,0.0390933631833045,0.215843392751904,stable
ENTREP2,,0.323155503479889,0.649392220045729,stable
EOLA2-DT,,0.0253006265704739,0.164762530538373,stable
EPHA1-AS1,,0.0310650611320256,0.18605551556976,stable
ERVW-1,,0.00412494830379066,0.0489072435165248,stable
ESR2,,0.125250274284835,0.411022645062503,stable
FAM149A,,0.119594026034656,0.402067484666565,stable
FAM161B,,0.190555173361066,0.505759830898827,stable
FAM179A,,0.0500649179459784,0.246176008435897,stable
FAM184B,,0.313771049897899,0.642402590701449,stable
FAM188B,,0.0125088911493284,0.104644719927436,stable
FAM218A,,0.0179474806063041,0.13272232482242,stable
FAM41C,,0.247424141636972,0.572185414451699,stable
FAM46C,,0.0114642231325018,0.0989364418975482,stable
FAM69A,,0.186496921659278,0.499970921394647,stable
FANCA,,0.0298765835755882,0.18233218054318,stable
FANCI,,0.0662105539171059,0.290926603552373,stable
FANCM,,0.0157293885282046,0.121833415058213,stable
FBXO48,,0.0391117575766659,0.215847460323776,stable
FCGBP,,0.152506141259772,0.453474840856105,stable
FDXACB1,,0.470683970502073,0.770439321828781,stable
FGFR3,,0.0216843937450214,0.150951041650992,stable
FICD,,0.0252137289033815,0.164555591091797,stable
FMO4,,0.0726849085550902,0.306819771621338,stable
FOSL1,,0.204960343426293,0.52261894827764,stable
FP236383.5,,0.445717083024549,0.749963773800366,stable
FP565260.6,,0.197711837168056,0.514740597160524,stable
FRRS1,,0.10712642402186,0.379759513069571,stable
FSD1L,,0.000745125748374072,0.0134739898640897,stable
FTCDNL1,,0.0381991980986504,0.213177213592624,stable
FUT3,,0.203379222558001,0.520861000656929,stable
FUT4,,0.316254908212615,0.644534434401232,stable
GAREM,,0.0162769595890581,0.124667640361307,stable
GARIN1A,,0.0899657939436023,0.34418400582038,stable
GARIN4,,0.0343313314544175,0.198705585084659,stable
GATD3,,0.0476286399771182,0.239741445390472,stable
GBP4,,0.00588705248251312,0.0628383398390835,stable
GDPGP1,,0.165129538985571,0.471431077968347,stable
GFPT2,,0.0116596094307851,0.100018993460994,stable
GLCE,,0.00330630535111869,0.0416662645485308,stable
GOLGA6L10,,0.000868981516427166,0.0151316667475864,stable
GOLPH3-DT,,0.014279355068108,0.113936577253624,stable
GPLD1,,0.139753107276362,0.432482955085529,stable
GPR135,,0.204179200454164,0.521933614879068,stable
GPR82,,0.0292942361726063,0.180127134292726,stable
GRB14,,0.0146225496778636,0.116144280222356,stable
GRID2IP,,0.221659135092625,0.54228085779861,stable
GRTP1,,0.156356907808827,0.459007406593445,stable
GSK3B-DT,,0.131108578628952,0.420850123825143,stable
GTF2A1-AS1,,0.291151227412803,0.618148977297589,stable
H2AC19,,0.116286612226128,0.396401014793385,stable
H2AC25,,0.125126696467054,0.410771868624844,stable
H2BC11,,0.0133364153740003,0.108694353411195,stable
H3-5,,0.425090132186488,0.735778123247235,stable
HCG11,,0.0697716658196803,0.299663801929901,stable
HEPFAL,,0.0888634493992436,0.341808308828305,stable
HIC2,,0.091272640188659,0.346711234824788,stable
HNRNPK-AS1,,0.244164345432747,0.569978670710745,stable
HOGA1,,0.0907442020671819,0.345562967622813,stable
HOXD-AS1,,0.0728623274809121,0.307233215290331,stable
HSD17B14,,0.396487239602293,0.712744120132121,stable
IFFO2,,0.183241110189089,0.495818146191638,stable
IGHM,,0.00171001170243437,0.0255540135092393,stable
IGKV4-1,,0.0627825680609095,0.281944934598294,stable
INO80B,,0.0259221436917811,0.166511972931336,stable
IQCC,,0.0463380279090831,0.236917203272896,stable
IRF2-DT,,0.0384644874211774,0.213875465138429,stable
ISPD,,0.0697924447066777,0.299663801929901,stable
ITGA10,,0.172779113678731,0.483112952982734,stable
ITGA5,,0.162453997291497,0.467255920680295,stable
ITPR1,,0.0526697852458545,0.25367827220068,stable
ITPRID2-DT,,0.0312469692620257,0.186778949759903,stable
KAZALD1,,0.28934389933072,0.616588542948686,stable
KCNG3,,0.178454632347258,0.490760275773426,stable
KCTD21-AS1,,0.289347617030721,0.616588542948686,stable
KIAA0101,,0.0816034163101065,0.327700447100769,stable
KIAA1549,,0.357675559988813,0.680078712910756,stable
KIF6,,0.148897631339529,0.447253844115297,stable
KIFC1,,0.361156545162806,0.68350791269084,stable
KLF11,,0.00175815856645964,0.0262094272151252,stable
KLRB1,,0.0981485008524102,0.361209669591786,stable
KPNA7,,0.452579243710709,0.756402608028398,stable
KRBOX1,,0.614356785985279,0.855438814430351,stable
KSR2,,0.0556350337093212,0.261944099907351,stable
LA16c-431H6.6,,0.0460888217485378,0.236704377163424,stable
LACE1,,0.000695018469522642,0.0128536654370248,stable
LAIR1,,0.0443971467606834,0.232102575679079,stable
LATS2-AS1,,0.129859760485827,0.418288725211792,stable
LBX2-AS1,,0.303362502733965,0.631256149478155,stable
LCDR,,0.0251882422115928,0.164555591091797,stable
LCN12,,0.202995230618513,0.520467027956089,stable
