primerid,logFC,pvalue,padj,regulation
HSPA1A,2.79415254294087,2.14229496704042e-90,4.36456894618367e-87,up
JUN,2.55831616758506,7.7721936622655e-133,9.50072953275335e-129,up
FOS,2.55744124397102,1.45916915304924e-93,5.94562790895799e-90,up
DNAJB1,2.54885929079599,7.49108527641033e-104,4.578551320942e-100,up
ZFP36,2.36320919557451,2.79652114423263e-93,8.54616861677491e-90,up
HSPA1B,2.31859564668701,3.39029201336304e-91,8.28858591426996e-88,up
HSPB1,2.07174350056603,1.95546356787768e-57,1.83873743490282e-54,up
ATF3,1.98419556881499,1.41360193831554e-85,2.46855287056703e-82,up
IER2,1.76154027917037,9.4943216335361e-69,1.16058587648345e-65,up
DUSP1,1.70930475869223,1.72567560426206e-77,2.63683232331242e-74,up
JUNB,1.6988544867367,1.79532215579913e-58,1.82883483604072e-55,up
EGR1,1.61248396169165,5.15400257871789e-64,5.7275025020225e-61,up
ELF3,1.57841028195702,1.48732418758367e-49,1.21207005793486e-46,up
CYR61,1.48461438830285,3.15818322254123e-41,2.14475731735244e-38,up
HSP90AA1,1.44917550993924,6.65966730968326e-52,5.81484094239773e-49,up
UBC,1.41297244022596,1.42979569023348e-74,1.94198027971268e-71,up
GADD45B,1.35961927206314,3.24640777142752e-45,2.33435815281941e-42,up
PPP1R15A,1.33619851152219,6.55776251328802e-46,5.01013056015205e-43,up
DNAJA1,1.24610859976961,2.05589259174339e-39,1.25656155207356e-36,up
HSPA8,1.20271321565297,7.11023375537841e-36,4.13883321074979e-33,up
FOSB,1.18994582392466,8.88794697584315e-41,5.71822441224772e-38,up
CLDN4,1.14084103608025,4.16932186947482e-29,1.96022271278693e-26,up
RHOB,1.06485838727478,6.54967021955317e-33,3.4810073375573e-30,up
NCOA7,1.04981749665742,2.52322627702274e-30,1.28516325043025e-27,up
SAT1,1.01943177630372,4.84437758600715e-26,2.0419886762535e-23,up
CEBPD,0.965352701196352,1.02348951894382e-20,3.20798355886392e-18,up
IFITM3,0.928040323791514,2.07906958339e-20,6.35363664683983e-18,up
IL32,0.921359082934232,4.5572205742335e-21,1.46598590261659e-18,up
BTG2,0.92031425456301,1.62979354709343e-28,7.37873937765557e-26,up
ID3,0.908985777183156,1.21990281778336e-18,3.3891118283145e-16,up
EFNA1,0.906945115373254,1.39651285756869e-24,5.33467911591238e-22,up
HSP90AB1,0.897563664113834,8.28229981443545e-35,4.60194695143904e-32,up
ALDH3A2,0.871268795037587,1.33109755469371e-19,3.96861866062827e-17,up
SERPINH1,0.865652272439213,3.6241356890613e-30,1.77205738652341e-27,up
RTKN2,0.847854922952207,8.13920206578231e-12,1.21333665917223e-09,up
KLF6,0.816965829215913,4.92811496209597e-17,1.20482554593322e-14,up
HSPE1,0.8142996135781,4.8961283755911e-19,1.42500650626728e-16,up
IFITM2,0.775691451623237,1.17828893009174e-10,1.50563018629527e-08,up
ICAM1,0.761318004135028,3.29522483811556e-16,7.32378698565902e-14,up
IRF1,0.730864059094615,1.88533694924993e-22,6.77834084342091e-20,up
SQSTM1,0.720116406348281,1.22851893626449e-13,2.02938046985096e-11,up
SRSF7,0.71660119156357,2.10024997214074e-16,4.84404823763178e-14,up
ZFP36L1,0.711370101717819,1.7293128882585e-09,1.84430595379677e-07,up
WSB1,0.708752328213737,1.21148554760607e-08,1.12190904044975e-06,up
HBEGF,0.696125328956503,3.51024360946403e-14,6.31017910030711e-12,up
ANXA1,0.686677891378986,2.16602493154158e-14,3.95186399450213e-12,up
HSPH1,0.657287999018906,4.14696602560635e-21,1.37006791073005e-18,up
NDNF,0.643741282744431,3.69299607229862e-10,4.3406907680556e-08,up
AGR3,0.639069440881268,1.63046527067829e-10,2.01321287563348e-08,up
F3,0.633070677034896,3.11851773268766e-08,2.74250077441539e-06,up
NR4A1,0.625968125594715,1.65889298765023e-18,4.50629064023031e-16,up
HNRNPDL,0.623300267349312,4.91577144075082e-09,4.84599920094661e-07,up
PTP4A1,0.61965313648917,1.15205453139958e-14,2.16657147566591e-12,up
HSPA5,0.614686834876465,4.01545074248569e-10,4.67474951201382e-08,up
EIF1,0.604890502583449,2.70592782486286e-15,5.25035900494025e-13,up
IER3,0.604362049986519,3.26559867692249e-16,7.32378698565902e-14,up
CRYAB,0.595719905818394,6.1023039714583e-13,9.68760568144237e-11,up
AQP4,0.590513584322831,2.07246958305501e-14,3.83846487625219e-12,up
CXCL2,0.577199083759374,9.72043730609364e-13,1.52336699525242e-10,up
ACTG1,0.574335485703389,5.89736975472717e-14,1.02984925545407e-11,up
TIMP3,0.572174209452594,6.70141651618387e-06,0.000342753621313103,up
NFKBIA,0.564858618764155,5.66994923911166e-10,6.47854341943064e-08,up
HLA-A,0.557388689536791,1.18264455107709e-06,7.39911941051049e-05,up
ID1,0.555253415710599,7.2424798645152e-08,5.94174992374723e-06,up
XBP1,0.546583178725397,6.95130675311455e-10,7.7956673165204e-08,up
ABCA1,0.537609112315716,1.77527726556829e-09,1.87077493916438e-07,up
IFRD1,0.529912762171171,8.43577825124888e-16,1.71864922238777e-13,up
KRT18,0.524718248028749,5.86556736351482e-10,6.63895328255603e-08,up
DYNLL1,0.522362223060707,2.41192168779603e-06,0.000137131770751715,up
ADRB2,0.51865867934571,1.87010533793852e-09,1.95386048298807e-07,up
CTGF,0.515794903367107,7.31814171113443e-07,4.83551158253553e-05,up
SYNGR2,0.51330023981483,1.42646250219377e-05,0.00065552923409085,up
NCKAP5,0.51091012246244,9.98673814860265e-06,0.000473170105149298,up
SON,0.50911772671765,2.53655394143577e-06,0.000143550163796809,up
UBB,0.507490145654861,3.98340481949844e-08,3.4051147212272e-06,up
H3-3B,0.504437062209323,1.57405960367529e-10,1.96339842809457e-08,up
