"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","focal_group"
"GO:0008380","RNA splicing","51/428","399/10170",0.12781954887218,3.03720750474317,8.70140041414175,6.9020961624308e-13,2.48889587617255e-09,2.41573365685078e-09,"PNN/MBNL1/SRSF4/ZNF326/SRRM2/SCAF11/CDK12/CDK13/ILF3/ZRANB2/FUS/CLK1/CLK2/ARGLU1/SLC38A2/ZNF638/PPIL2/DDX5/RNPC3/RBM6/RBM5/DDX39B/RBM25/SRSF11/THOC2/DDX17/LUC7L3/SFPQ/SRSF10/HNRNPH1/PRPF38B/QKI/SON/KAT2A/LUC7L/PAXBP1/CELF2/CELF1/SFSWAP/CCNL1/SUGP2/SF3B1/SNRNP70/RBM39/CCNL2/TIA1/SREK1/KHDRBS2/THOC1/CENATAC/PRP4K",51,"6"
"GO:0043484","regulation of RNA splicing","27/428","157/10170",0.171974522292994,4.08640395261623,8.168784331347,3.34433499259905e-10,6.02983599165609e-07,5.85258623704834e-07,"MBNL1/SRSF4/ZNF326/FUS/CLK1/CLK2/ARGLU1/SLC38A2/ZNF638/DDX5/RBM5/RBM25/DDX17/SRSF10/HNRNPH1/QKI/SON/KAT2A/CELF2/CELF1/SFSWAP/CCNL1/SNRNP70/RBM39/CCNL2/TIA1/KHDRBS2",27,"6"
"GO:0006397","mRNA processing","46/428","427/10170",0.107728337236534,2.55980651798026,6.90200488912171,3.26504169643419e-09,3.9245801191139e-06,3.80921531250656e-06,"PNN/MBNL1/SRSF4/ZNF326/SRRM2/ZFP36L1/SCAF11/CDK12/CDK13/ILF3/ZRANB2/CPSF6/ARGLU1/PPIL2/DDX5/RNPC3/RBM6/RBM5/DDX39B/RBM25/SRSF11/THOC2/DDX17/LUC7L3/SFPQ/SRSF10/HNRNPH1/PRPF38B/QKI/SON/LUC7L/PAXBP1/CELF2/CELF1/SFSWAP/SUGP2/SF3B1/SNRNP70/RBM39/TIA1/HDAC7/SREK1/KHDRBS2/THOC1/CENATAC/PRP4K",46,"6"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","32/428","267/10170",0.119850187265918,2.84784206657566,6.4131889620449,7.93854774886818e-08,5.72528063648373e-05,5.55698342420773e-05,"PNN/SRSF4/SRRM2/SCAF11/CDK13/ILF3/ARGLU1/DDX5/RNPC3/RBM6/RBM5/DDX39B/RBM25/DDX17/LUC7L3/SFPQ/SRSF10/HNRNPH1/QKI/SON/LUC7L/PAXBP1/CELF2/CELF1/SFSWAP/SF3B1/SNRNP70/RBM39/TIA1/KHDRBS2/CENATAC/PRP4K",32,"6"
"GO:0000398","mRNA splicing, via spliceosome","32/428","267/10170",0.119850187265918,2.84784206657566,6.4131889620449,7.93854774886818e-08,5.72528063648373e-05,5.55698342420773e-05,"PNN/SRSF4/SRRM2/SCAF11/CDK13/ILF3/ARGLU1/DDX5/RNPC3/RBM6/RBM5/DDX39B/RBM25/DDX17/LUC7L3/SFPQ/SRSF10/HNRNPH1/QKI/SON/LUC7L/PAXBP1/CELF2/CELF1/SFSWAP/SF3B1/SNRNP70/RBM39/TIA1/KHDRBS2/CENATAC/PRP4K",32,"6"
"GO:0000375","RNA splicing, via transesterification reactions","32/428","271/10170",0.118081180811808,2.80580749732731,6.31534936409707,1.12591825233022e-07,6.76676869650465e-05,6.56785647192631e-05,"PNN/SRSF4/SRRM2/SCAF11/CDK13/ILF3/ARGLU1/DDX5/RNPC3/RBM6/RBM5/DDX39B/RBM25/DDX17/LUC7L3/SFPQ/SRSF10/HNRNPH1/QKI/SON/LUC7L/PAXBP1/CELF2/CELF1/SFSWAP/SF3B1/SNRNP70/RBM39/TIA1/KHDRBS2/CENATAC/PRP4K",32,"6"
"GO:0050684","regulation of mRNA processing","18/428","109/10170",0.165137614678899,3.92394752636543,6.43278734095046,5.83472426082188e-07,0.000300571652636053,0.000291736213041094,"SRSF4/ZFP36L1/ARGLU1/DDX5/RBM5/RBM25/DDX17/SRSF10/QKI/SON/CELF2/CELF1/SFSWAP/SNRNP70/RBM39/TIA1/HDAC7/KHDRBS2",18,"6"
"GO:0048024","regulation of mRNA splicing, via spliceosome","16/428","89/10170",0.179775280898876,4.27176309986349,6.49773494206063,7.6367294444638e-07,0.000344225579709206,0.000334106913195291,"SRSF4/ARGLU1/DDX5/RBM5/RBM25/DDX17/SRSF10/QKI/SON/CELF2/CELF1/SFSWAP/SNRNP70/RBM39/TIA1/KHDRBS2",16,"6"
"GO:1903311","regulation of mRNA metabolic process","27/428","240/10170",0.1125,2.67318925233645,5.49810473272116,2.90723031315051e-06,0.00105053844612668,0.00101965739363377,"SRSF4/ZFP36L1/SAMD4A/SAMD4B/RC3H1/FUS/ARGLU1/DDX5/RBM5/DCP2/RBM25/DDX17/LARP4B/SRSF10/QKI/SON/CELF2/CELF1/SFSWAP/SECISBP2/SNRNP70/RBM39/TIA1/HDAC7/SCGB1A1/TNRC6A/KHDRBS2",27,"6"
"GO:0034330","cell junction organization","43/428","487/10170",0.0882956878850103,2.09805407894989,5.20499347958368,2.91330683895362e-06,0.00105053844612668,0.00101965739363377,"COL4A1/EPB41L3/EPB41L5/ABI2/PKN2/AGRN/PEAK1/FARP1/OGT/KIFC3/PPFIBP1/DOCK4/MACF1/PTPN1/FLCN/DLG1/DST/LIN7A/NEDD4L/NF1/SRGAP2/NUMB/NEDD9/SETD5/VEGFA/MYO9A/CC2D1A/HDAC7/DOCK1/HOMER1/PLXNA2/ITGA3/LIMCH1/RAB17/COL4A5/LAMA3/LAMA5/WASF3/PHLDB2/FILIP1/PLXNA1/GABRE/APBB2",43,"6"
