leiden,gene,mean_expr,pct_expr
0,MUC5AC,-0.814822,6.651119
0,MUC5B,-0.30120417,0.19589554
0,MUC2,-0.31938794,0.12126865
0,BPIFB1,-1.033805,8.162313
0,PIGR,-0.83491254,27.052238
0,AGR2,-0.708489,24.54291
0,CLCA1,-0.038515694,0.018656716
0,TFF3,-0.57203454,4.1791043
0,SCGB1A1,-0.5241579,13.973882
0,SCGB3A1,-0.5335109,14.365671
0,SCGB3A2,-0.0099850735,0.009328358
0,SLPI,-0.30603915,35.6903
0,WFDC2,-0.04677363,53.880596
0,MSMB,-0.3486197,35.699627
0,VMO1,-0.5866505,33.00373
0,LCN2,-0.44332597,34.84142
0,SAA1,-0.45217875,4.477612
0,SAA2,-0.3587175,3.1623132
0,IL8,-0.14737408,0.92350745
0,CXCL1,-0.43520036,4.664179
0,CXCL2,-0.20578444,0.7742537
0,DUOX2,-0.16659176,23.041044
0,DUOXA2,-0.19206771,10.046641
0,S100A8,0.82044446,53.227608
0,S100A9,0.6352067,67.42537
0,IFI27,0.15619428,64.906715
0,IFITM3,0.19387224,63.731342
0,FOS,-0.6689003,12.313433
0,JUN,-0.6387408,18.17164
0,ATF3,-0.3903343,1.7817163
0,DUSP1,-0.51483,19.309702
0,IER2,-0.5259563,25.634327
0,HSPA1A,-0.37669936,22.10821
0,CD74,0.33091116,71.56717
0,HLA-DRA,-0.16255935,44.4403
0,HLA-DRB1,-0.22193548,34.608208
0,HLA-DPA1,-0.29347485,9.048508
0,MMP7,-0.09871351,2.2574627
0,PIP,-0.13032067,3.06903
0,TCN1,0.4156644,38.143654
0,CLU,-0.284404,36.576492
0,MALAT1,0.60514396,95.61568
0,XIST,-0.35490245,13.7873125
0,HBB,0.08820981,9.785448
0,HBA2,-0.14816593,0.44776118
1,MUC5AC,0.38866177,63.45966
1,MUC5B,-0.0849057,5.611247
1,MUC2,0.13705416,13.581907
1,BPIFB1,0.11878283,60.709045
1,PIGR,0.40221286,72.713936
1,AGR2,-0.38230643,44.608803
1,CLCA1,-0.013640739,0.26894867
1,TFF3,-0.030421,27.432764
1,SCGB1A1,-0.26195705,31.992664
1,SCGB3A1,-0.07779521,35.220047
1,SCGB3A2,-0.010918928,0.0
1,SLPI,-0.24892811,41.173595
1,WFDC2,-0.17933907,46.797066
1,MSMB,-0.1953994,46.76039
1,VMO1,-0.2180884,52.139366
1,LCN2,0.05833676,60.525673
1,SAA1,-0.16332597,15.256723
1,SAA2,-0.19176894,8.01956
1,IL8,-0.120529234,1.1002445
1,CXCL1,-0.12736727,15.061125
1,CXCL2,-0.13244961,1.992665
1,DUOX2,-0.022116313,20.586798
1,DUOXA2,-0.12309452,9.08313
1,S100A8,-0.1084344,17.640587
1,S100A9,-0.46658495,17.726162
1,IFI27,-0.5898265,39.53545
1,IFITM3,-0.33078375,35.342297
1,FOS,-0.47603565,20.12225
1,JUN,-0.47658068,22.02934
1,ATF3,-0.29829872,4.3154035
1,DUSP1,-0.4512894,17.176039
1,IER2,-0.48145702,21.870415
1,HSPA1A,-0.41047698,14.706601
1,CD74,-0.093122445,56.650364
1,HLA-DRA,-0.39939284,26.821514
1,HLA-DRB1,-0.26834425,23.545233
1,HLA-DPA1,-0.15873627,11.198044
1,MMP7,-0.10470234,1.5525672
1,PIP,-0.07912601,3.1173594
1,TCN1,-0.10644294,14.633252
1,CLU,-0.25096336,31.491444
1,MALAT1,-0.21845214,51.760395
1,XIST,0.10625855,26.78484
1,HBB,0.59336156,15.427873
1,HBA2,-0.037209768,1.9804401
2,MUC5AC,-0.32637972,26.832882
2,MUC5B,-0.07779153,9.158233
2,MUC2,0.3692372,31.115774
2,BPIFB1,-0.26264465,37.299435
2,PIGR,0.15976523,66.35399
2,AGR2,-0.23766449,36.102196
2,CLCA1,-0.035366688,0.06171316
2,TFF3,0.3432225,48.716366
2,SCGB1A1,-0.17878275,30.634413
2,SCGB3A1,-0.42910945,16.255245
2,SCGB3A2,-0.010918928,0.0
2,SLPI,-0.19882011,36.274994
2,WFDC2,-0.017193178,51.666252
2,MSMB,-0.48236015,23.50037
2,VMO1,-0.6640893,19.995064
2,LCN2,-0.06303716,49.8272
2,SAA1,-0.23048875,22.488276
2,SAA2,-0.16679806,16.18119
2,IL8,-0.18152472,0.024685264
2,CXCL1,0.016077196,29.140953
2,CXCL2,-0.108133756,4.8136263
2,DUOX2,-0.30062768,21.130585
2,DUOXA2,-0.31759116,6.7514195
2,S100A8,-0.31810862,12.354975
2,S100A9,-0.24843374,30.214764
2,IFI27,0.5340181,81.85633
2,IFITM3,0.40217152,70.39003
2,FOS,0.006553427,45.07529
2,JUN,0.20144951,60.738087
2,ATF3,-0.17937139,13.255986
2,DUSP1,0.07061127,47.679585
2,IER2,0.1794178,59.540855
2,HSPA1A,-0.1122076,42.80425
2,CD74,0.9220421,91.31079
2,HLA-DRA,0.64996254,81.25154
2,HLA-DRB1,0.75191677,79.671684
2,HLA-DPA1,0.8101852,60.540604
2,MMP7,-0.016143197,5.6158977
2,PIP,-0.2168652,1.3576895
2,TCN1,-0.26306742,18.871883
2,CLU,-0.36996475,30.301159
2,MALAT1,-1.330581,2.0859048
2,XIST,-0.0880628,34.744507
2,HBB,-0.23193453,2.0982475
2,HBA2,-0.07477369,2.6289806
3,MUC5AC,0.5862194,74.47819
3,MUC5B,-0.21584839,4.5869265
3,MUC2,0.28019857,30.946133
3,BPIFB1,0.17206332,61.21735
3,PIGR,0.357369,77.97775
3,AGR2,-0.04404978,46.944134
3,CLCA1,-0.03903197,0.024996875
3,TFF3,-0.06583164,32.270966
3,SCGB1A1,-0.50644726,12.623422
3,SCGB3A1,-0.36530274,19.822521
3,SCGB3A2,-0.010918928,0.0
3,SLPI,-0.10206758,43.34458
3,WFDC2,0.44693312,82.802155
3,MSMB,-0.3503702,32.55843
3,VMO1,0.316323,69.153854
3,LCN2,0.79285103,88.313965
3,SAA1,0.426167,50.531185
3,SAA2,0.30130112,38.73266
3,IL8,-0.18145616,0.024996875
3,CXCL1,0.06664865,30.408699
3,CXCL2,0.13307877,11.711037
3,DUOX2,0.887356,70.66616
3,DUOXA2,0.8644922,52.105988
3,S100A8,0.06434352,31.621048
3,S100A9,0.047985163,44.70691
3,IFI27,0.39387992,76.340454
3,IFITM3,0.5519773,79.79002
3,FOS,-0.012823055,42.19473
