,MUC5AC,MUC5B,MUC2,BPIFB1,PIGR,AGR2,CLCA1,TFF3,SCGB1A1,SCGB3A1,SCGB3A2,SLPI,WFDC2,MSMB,VMO1,LCN2,SAA1,SAA2,IL8,CXCL1,CXCL2,DUOX2,DUOXA2,S100A8,S100A9,IFI27,IFITM3,FOS,JUN,ATF3,DUSP1,IER2,HSPA1A,CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,MMP7,PIP,TCN1,CLU,MALAT1,XIST,HBB,HBA2
0,-0.814822,-0.30120417,-0.31938794,-1.033805,-0.83491254,-0.708489,-0.038515694,-0.57203454,-0.5241579,-0.5335109,-0.0099850735,-0.30603915,-0.04677363,-0.3486197,-0.5866505,-0.44332597,-0.45217875,-0.3587175,-0.14737408,-0.43520036,-0.20578444,-0.16659176,-0.19206771,0.82044446,0.6352067,0.15619428,0.19387224,-0.6689003,-0.6387408,-0.3903343,-0.51483,-0.5259563,-0.37669936,0.33091116,-0.16255935,-0.22193548,-0.29347485,-0.09871351,-0.13032067,0.4156644,-0.284404,0.60514396,-0.35490245,0.08820981,-0.14816593
1,0.38866177,-0.0849057,0.13705416,0.11878283,0.40221286,-0.38230643,-0.013640739,-0.030421,-0.26195705,-0.07779521,-0.010918928,-0.24892811,-0.17933907,-0.1953994,-0.2180884,0.05833676,-0.16332597,-0.19176894,-0.120529234,-0.12736727,-0.13244961,-0.022116313,-0.12309452,-0.1084344,-0.46658495,-0.5898265,-0.33078375,-0.47603565,-0.47658068,-0.29829872,-0.4512894,-0.48145702,-0.41047698,-0.093122445,-0.39939284,-0.26834425,-0.15873627,-0.10470234,-0.07912601,-0.10644294,-0.25096336,-0.21845214,0.10625855,0.59336156,-0.037209768
2,-0.32637972,-0.07779153,0.3692372,-0.26264465,0.15976523,-0.23766449,-0.035366688,0.3432225,-0.17878275,-0.42910945,-0.010918928,-0.19882011,-0.017193178,-0.48236015,-0.6640893,-0.06303716,-0.23048875,-0.16679806,-0.18152472,0.016077196,-0.108133756,-0.30062768,-0.31759116,-0.31810862,-0.24843374,0.5340181,0.40217152,0.006553427,0.20144951,-0.17937139,0.07061127,0.1794178,-0.1122076,0.9220421,0.64996254,0.75191677,0.8101852,-0.016143197,-0.2168652,-0.26306742,-0.36996475,-1.330581,-0.0880628,-0.23193453,-0.07477369
3,0.5862194,-0.21584839,0.28019857,0.17206332,0.357369,-0.04404978,-0.03903197,-0.06583164,-0.50644726,-0.36530274,-0.010918928,-0.10206758,0.44693312,-0.3503702,0.316323,0.79285103,0.426167,0.30130112,-0.18145616,0.06664865,0.13307877,0.887356,0.8644922,0.06434352,0.047985163,0.39387992,0.5519773,-0.012823055,-0.06324299,0.01917609,0.3018264,0.18982236,0.1434115,0.5216839,0.19618669,0.47401842,0.3008241,-0.060863324,0.037594184,-0.16250819,-0.25094005,-1.359145,-0.008708229,-0.21944894,-0.07764809
4,0.36038426,-0.26856795,-0.3227598,-0.0140386,0.32450476,0.032673936,-0.0403889,-0.1922424,-0.25168958,0.17118771,-0.010918928,-0.16897005,0.22805327,0.45546883,0.5303393,0.32962853,0.23568025,0.25246206,0.38896206,-0.0130084,0.0708126,0.3645089,0.14192739,-0.063637644,0.23764218,0.8469737,-0.080285065,-0.44446653,-0.37858889,-0.09286466,-0.26028365,-0.2419294,-0.19704752,0.266625,0.47515643,0.42490608,0.0987531,-0.07696307,0.20345527,0.043075796,-0.19232036,0.8341712,0.40434626,0.12545231,0.025324706
5,-0.044917792,-0.21698621,0.07838919,0.2432312,0.22895052,0.5391287,0.1324398,-0.33337173,-0.24377301,-0.52084905,-0.010918928,-0.27135745,-0.635656,0.21642557,-0.6255706,-0.37790334,-0.34183404,-0.3374845,-0.1826184,-0.06801033,-0.15456295,-0.03967017,-0.400786,-0.3792357,-0.3922351,-0.8517435,-0.4134797,0.21302374,-0.08061296,-0.24438041,-0.061793413,-0.314131,0.6007355,-0.40537545,-0.2187081,-0.6646399,-0.46503267,0.036121007,-0.0027217113,0.12185546,0.17435978,0.024270633,-0.6339933,-0.26048967,-0.1609824
6,-0.23500274,-0.027392002,-0.32232997,-0.35030976,-0.57093036,-0.6918484,-0.0403889,-0.018515786,-0.12452514,-0.05353277,-0.009379024,-1.6634511,-1.9600595,-0.10649257,-0.46222174,-0.29229292,1.2359848,1.5934603,0.17530942,0.79507,0.68442845,0.26750678,0.39235806,0.5576283,0.7082471,0.16707855,0.46279153,-0.1335292,0.06748137,0.2530774,-0.09243571,0.087303035,-0.031471398,-0.099652566,0.68864053,0.8042252,0.7753872,0.32771248,0.27761835,0.4766527,0.03980304,-0.26066837,0.62064993,0.33940673,0.2395691
7,-0.21218246,-0.04530355,-0.32234448,0.30401766,-0.30658627,0.75136364,-0.0403889,0.53755397,0.95124584,0.55453336,-0.010918928,0.86188036,1.1502522,0.678569,0.6066821,-0.6501578,-0.48013052,-0.40222204,-0.17964529,-0.22051866,-0.17438994,-0.52999616,-0.39612627,-0.34489948,-0.08088114,-0.53138477,-0.48894778,0.8196083,0.7133445,0.13944054,0.45440376,0.6058477,0.95506996,-1.0802778,-0.60264456,-0.68193805,-0.42790204,-0.066540256,-0.16531724,-0.099180266,0.41918746,0.954948,0.8570572,-0.25643295,-0.15293555
8,0.111804634,-0.28598747,-0.2567554,-0.18804662,-0.05278496,-0.37576985,-0.03870484,-0.4456296,-0.55990726,-0.31126454,-0.010918928,-0.040619142,0.42780465,-0.17800227,0.34351933,0.86033875,0.2852499,0.3097531,0.04095839,-0.075143285,0.01743474,0.8862501,0.97640353,1.1068511,0.62247944,0.055711977,0.39636755,-0.66721934,-0.5882865,-0.2645895,-0.36902472,-0.3407339,-0.31232998,-0.10688025,-0.47084188,-0.32467255,-0.30743653,-0.04218964,0.4174815,0.1618469,-0.23127653,0.43303385,-0.33283645,-0.032266404,-0.12958284
9,-0.31524438,0.47456056,-0.28599542,-0.054101042,0.022587735,0.5497202,-0.0403889,0.28831354,1.1239887,0.15822312,-0.010918928,1.0341791,0.4337453,0.5860695,0.43996462,-0.31350476,-0.5050112,-0.4166493,-0.18186688,-0.0008632966,-0.1868531,-0.5692224,-0.41291258,-0.48763824,-0.121658795,-0.05823907,-0.2304963,0.58771455,0.6505843,-0.10216418,0.16955668,0.49579352,0.78410244,-0.6323153,0.07732807,-0.19837938,-0.30823588,-0.007814098,-0.23331803,-0.28639936,0.48421463,0.94350797,-0.63556904,0.36302745,0.705554
