,MUC5AC,MUC5B,MUC2,BPIFB1,PIGR,AGR2,CLCA1,TFF3,SCGB1A1,SCGB3A1,SCGB3A2,SLPI,WFDC2,MSMB,VMO1,LCN2,SAA1,SAA2,IL8,CXCL1,CXCL2,DUOX2,DUOXA2,S100A8,S100A9,IFI27,IFITM3,FOS,JUN,ATF3,DUSP1,IER2,HSPA1A,CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,MMP7,PIP,TCN1,CLU,MALAT1,XIST,HBB,HBA2
0,6.651119,0.19589554,0.12126865,8.162313,27.052238,24.54291,0.018656716,4.1791043,13.973882,14.365671,0.009328358,35.6903,53.880596,35.699627,33.00373,34.84142,4.477612,3.1623132,0.92350745,4.664179,0.7742537,23.041044,10.046641,53.227608,67.42537,64.906715,63.731342,12.313433,18.17164,1.7817163,19.309702,25.634327,22.10821,71.56717,44.4403,34.608208,9.048508,2.2574627,3.06903,38.143654,36.576492,95.61568,13.7873125,9.785448,0.44776118
1,63.45966,5.611247,13.581907,60.709045,72.713936,44.608803,0.26894867,27.432764,31.992664,35.220047,0.0,41.173595,46.797066,46.76039,52.139366,60.525673,15.256723,8.01956,1.1002445,15.061125,1.992665,20.586798,9.08313,17.640587,17.726162,39.53545,35.342297,20.12225,22.02934,4.3154035,17.176039,21.870415,14.706601,56.650364,26.821514,23.545233,11.198044,1.5525672,3.1173594,14.633252,31.491444,51.760395,26.78484,15.427873,1.9804401
2,26.832882,9.158233,31.115774,37.299435,66.35399,36.102196,0.06171316,48.716366,30.634413,16.255245,0.0,36.274994,51.666252,23.50037,19.995064,49.8272,22.488276,16.18119,0.024685264,29.140953,4.8136263,21.130585,6.7514195,12.354975,30.214764,81.85633,70.39003,45.07529,60.738087,13.255986,47.679585,59.540855,42.80425,91.31079,81.25154,79.671684,60.540604,5.6158977,1.3576895,18.871883,30.301159,2.0859048,34.744507,2.0982475,2.6289806
3,74.47819,4.5869265,30.946133,61.21735,77.97775,46.944134,0.024996875,32.270966,12.623422,19.822521,0.0,43.34458,82.802155,32.55843,69.153854,88.313965,50.531185,38.73266,0.024996875,30.408699,11.711037,70.66616,52.105988,31.621048,44.70691,76.340454,79.79002,42.19473,45.14436,25.546806,56.442947,58.767654,55.993004,75.65304,60.392452,67.10411,42.007248,5.1493564,11.861017,25.19685,34.758156,0.7374078,39.945007,3.337083,3.0496187
4,67.24376,2.2456403,0.0,49.68009,71.07013,52.741188,0.0,25.015682,26.884958,50.031364,0.0,41.83917,73.253044,68.97504,79.01141,70.60594,46.33045,36.770794,16.848576,29.632416,10.600928,56.27901,31.551876,29.594782,52.440094,92.27198,49.54209,20.3864,24.225317,20.260946,31.79024,36.44461,39.856983,69.41412,69.56467,65.07339,35.089703,4.579099,15.518756,35.578976,39.6688,96.44963,54.94919,20.687492,5.595283
5,45.34177,3.1898732,15.278481,63.658226,70.93671,79.215195,1.7974684,19.772152,27.734179,15.354431,0.0,31.759495,12.0,59.607594,22.70886,36.481014,12.012658,4.708861,0.0,21.873417,2.278481,23.506329,1.050633,8.92405,24.70886,13.481012,36.78481,53.012657,46.151897,10.240506,42.58228,37.97468,68.72152,32.70886,43.215187,12.696202,2.3670886,5.392405,6.607595,30.64557,54.949368,52.1519,0.278481,0.29113925,0.278481
6,26.765114,12.674973,0.046146747,14.828488,15.79757,13.936317,0.0,48.069527,34.517765,54.13013,0.015382249,10.644516,16.028303,21.55053,16.61283,22.750347,83.54099,75.034615,10.475311,63.036453,24.334719,51.06907,40.686047,69.80464,89.50931,47.0543,85.97139,50.56145,64.42086,33.45639,45.30072,65.574524,44.208584,24.48854,91.601295,88.92478,57.52961,12.428858,14.890017,51.838177,65.09768,23.904015,67.11275,27.534225,8.983233
7,36.46366,8.941577,0.0154966675,68.49527,45.188286,90.40756,0.0,54.207344,83.66651,69.84348,0.0,91.6473,94.91709,77.04943,82.19433,22.687122,2.432977,0.92980003,0.10847668,12.505812,1.2087401,2.5724468,0.77483344,7.670851,34.030685,35.95227,35.44088,77.94824,71.65659,19.479313,55.896484,64.74508,58.51542,12.428328,22.191229,8.926081,2.8823802,2.2315202,1.5806602,16.147528,63.148922,98.96172,59.941113,0.38741672,0.32543004
8,52.91848,1.0902381,3.3545787,45.48809,56.088562,35.424355,0.016772896,12.210668,11.640389,26.383764,0.0,52.935253,79.704796,44.817177,71.83831,92.30125,37.034554,29.956392,5.9543777,19.64106,6.8265686,65.64911,49.630997,64.40791,67.04126,58.604496,71.56995,11.774572,19.272057,9.275411,28.228783,35.256622,26.920498,49.53036,28.178463,29.620934,9.275411,3.8913116,18.651459,33.26065,39.533714,87.40356,16.236162,8.587723,1.3753774
9,26.606146,27.810755,2.4615922,48.847763,61.138268,88.84428,0.0,51.69343,88.058655,51.152237,0.0,97.084496,79.60894,68.36592,77.95042,32.26257,2.0425978,0.6459497,0.0174581,28.648743,1.6934358,1.2569833,0.19203912,1.7807262,39.664806,53.14246,42.807262,74.80796,75.52374,17.772346,54.83589,72.15433,72.18925,16.916899,56.7912,42.73743,10.876396,5.2025137,0.41899443,14.490223,72.433655,99.30168,0.2269553,27.67109,18.680168
