,avg_expr_CD4_T,pct_expr_CD4_T,logFC_CD4_T,avg_expr_CD8_T,pct_expr_CD8_T,logFC_CD8_T,avg_expr_Macrophage,pct_expr_Macrophage,logFC_Macrophage
GENE0,4.3955393,1.0,0.0,3.4082367,0.89,2.2601695,2.2511723,0.725,0.0
GENE1,4.3736424,1.0,0.0,3.4088156,0.88,2.323295,2.2005486,0.72,0.0
GENE2,4.364459,1.0,0.0,3.2239332,0.845,2.6925426,2.348498,0.77,0.0
GENE3,4.3784995,1.0,0.0,3.3030572,0.85,2.364213,2.3236802,0.76,0.0
GENE4,4.377047,1.0,0.0,3.330065,0.87,2.3604817,2.277834,0.745,0.0
GENE5,4.3902593,1.0,0.0,3.4418151,0.885,2.1449947,2.3848987,0.775,0.0
GENE6,4.40082,1.0,0.0,3.3450212,0.87,2.4239798,2.2802126,0.735,0.0
GENE7,4.3926296,1.0,0.0,3.3835788,0.875,2.1287332,2.4523287,0.785,0.0
GENE8,4.4028482,1.0,0.0,3.4244013,0.89,2.2326608,2.3090618,0.745,0.0
GENE9,4.3873973,1.0,0.0,3.3950992,0.875,2.2584248,2.4564822,0.79,0.0
GENE10,4.392909,1.0,0.0,3.4230597,0.88,2.2987137,2.4388027,0.775,0.0
GENE11,4.3832936,1.0,0.0,3.353705,0.855,2.2793112,2.036832,0.68,0.0
GENE12,4.379223,1.0,0.0,3.3338199,0.845,2.2423944,2.414621,0.77,0.0
GENE13,4.3987303,1.0,0.0,3.3392477,0.87,2.2535272,2.4996095,0.795,0.0
GENE14,4.3899198,1.0,0.0,3.3661883,0.88,2.4243517,2.4839408,0.8,0.0
GENE15,4.366186,1.0,0.0,3.3337126,0.87,2.3466153,2.4247048,0.765,0.0
GENE16,4.3921933,1.0,0.0,3.4831884,0.9,2.1140542,2.44193,0.78,0.0
GENE17,4.394586,1.0,0.0,3.3280456,0.865,2.2164059,2.4664543,0.81,0.0
GENE18,4.381605,1.0,0.0,3.4792352,0.91,2.1819863,2.2715452,0.72,0.0
GENE19,4.390678,1.0,0.0,3.3579473,0.875,2.3146963,2.1790123,0.705,0.0
GENE20,4.364244,1.0,0.0,3.3036022,0.86,2.551796,2.287073,0.735,0.0
GENE21,4.3925166,1.0,0.0,3.4515,0.89,2.0202184,2.3276696,0.735,0.0
GENE22,4.3831997,1.0,0.0,3.3843873,0.885,2.219913,2.4329832,0.765,0.0
GENE23,4.404765,1.0,0.0,3.412711,0.895,2.3219275,2.3432496,0.735,0.0
GENE24,4.383059,1.0,0.0,3.3758183,0.87,2.2007627,2.5835965,0.81,0.0
GENE25,4.4179597,1.0,0.0,3.4357705,0.885,2.2186403,2.2952602,0.74,0.0
