,label
GENE146,1
GENE322,1
GENE6,1
GENE365,1
GENE478,1
GENE206,1
GENE304,1
GENE437,1
GENE23,1
GENE86,1
GENE479,1
GENE122,1
GENE263,1
GENE333,1
GENE311,1
GENE381,1
GENE408,1
GENE80,1
GENE253,1
GENE485,1
GENE148,1
GENE391,1
GENE2,1
GENE249,1
GENE483,1
GENE484,1
GENE247,1
GENE114,1
GENE348,1
GENE325,1
GENE475,1
GENE415,1
GENE142,1
GENE131,1
GENE330,1
GENE212,1
GENE377,1
GENE316,1
GENE493,1
GENE379,1
GENE168,1
GENE119,1
GENE47,1
GENE223,1
GENE138,1
GENE194,1
GENE117,1
GENE307,1
GENE37,1
GENE340,1
GENE289,1
GENE465,1
GENE259,1
GENE31,1
GENE70,1
GENE395,1
GENE159,1
GENE120,1
GENE224,1
GENE67,1
GENE66,1
GENE125,1
GENE260,1
GENE24,1
GENE417,1
GENE351,1
GENE18,1
GENE436,1
GENE434,1
GENE384,1
GENE101,1
GENE499,1
GENE305,1
GENE167,1
GENE35,1
GENE274,1
GENE397,1
GENE90,1
GENE410,1
GENE490,1
GENE147,1
GENE48,1
GENE56,1
GENE172,1
GENE398,1
GENE9,1
GENE189,1
GENE232,1
GENE169,1
GENE4,1
GENE236,1
GENE445,1
GENE163,1
GENE285,1
GENE342,1
GENE463,1
GENE310,1
GENE359,0
GENE282,0
GENE363,0
GENE451,0
GENE50,0
GENE403,0
GENE356,0
GENE222,0
GENE435,0
GENE303,0
GENE386,0
GENE141,0
GENE418,0
GENE176,0
GENE283,0
GENE95,0
GENE187,0
GENE452,0
GENE42,0
GENE411,0
GENE407,0
GENE471,0
GENE439,0
GENE20,0
GENE341,0
GENE221,0
GENE116,0
GENE5,0
GENE242,0
GENE488,0
GENE34,0
GENE374,0
GENE123,0
GENE371,0
GENE91,0
GENE192,0
GENE393,0
GENE385,0
GENE288,0
GENE74,0
GENE170,0
GENE78,0
GENE52,0
GENE32,0
GENE255,0
GENE43,0
GENE201,0
GENE492,0
GENE458,0
GENE213,0
GENE179,0
GENE220,0
GENE7,0
GENE497,0
GENE234,0
GENE433,0
GENE243,0
GENE25,0
GENE354,0
GENE308,0
GENE228,0
GENE21,0
GENE361,0
GENE238,0
GENE68,0
GENE292,0
GENE193,0
GENE278,0
GENE480,0
GENE108,0
GENE326,0
GENE71,0
GENE112,0
GENE291,0
GENE130,0
GENE185,0
GENE49,0
GENE10,0
GENE431,0
GENE375,0
GENE245,0
GENE462,0
GENE111,0
GENE135,0
GENE276,0
GENE281,0
GENE152,0
GENE296,0
GENE280,0
GENE89,0
GENE335,0
GENE355,0
GENE261,0
GENE208,0
GENE129,0
GENE57,0
GENE59,0
GENE459,0
GENE0,0
GENE494,0
GENE320,0
GENE128,0
GENE155,0
GENE217,0
GENE372,0
GENE339,0
GENE180,0
GENE79,0
GENE97,0
GENE419,0
GENE382,0
GENE443,0
GENE412,0
GENE378,0
GENE396,0
GENE491,0
GENE199,0
GENE364,0
GENE425,0
GENE118,0
GENE277,0
GENE210,0
GENE175,0
GENE173,0
GENE383,0
GENE149,0
GENE83,0
GENE184,0
GENE394,0
GENE115,0
GENE100,0
GENE16,0
GENE178,0
GENE370,0
GENE315,0
GENE22,0
GENE157,0
GENE150,0
GENE87,0
GENE287,0
GENE205,0
GENE38,0
GENE328,0
GENE132,0
GENE229,0
GENE416,0
GENE298,0
GENE402,0
GENE474,0
GENE366,0
GENE103,0
GENE401,0
GENE267,0
GENE126,0
GENE295,0
GENE495,0
GENE203,0
GENE104,0
GENE389,0
GENE65,0
GENE156,0
GENE336,0
GENE177,0
GENE279,0
GENE137,0
GENE197,0
GENE254,0
GENE62,0
GENE344,0
GENE145,0
GENE460,0
GENE219,0
GENE321,0
GENE294,0
GENE161,0
GENE477,0
GENE265,0
GENE349,0
GENE76,0
GENE334,0
GENE449,0
GENE467,0
GENE331,0
GENE107,0
GENE309,0
GENE33,0
GENE469,0
GENE63,0
GENE448,0
GENE257,0
GENE299,0
GENE367,0
GENE190,0
GENE429,0
GENE262,0
GENE300,0
GENE235,0
GENE376,0
GENE81,0
GENE134,0
GENE207,0
GENE36,0
GENE270,0
GENE368,0
GENE426,0
GENE399,0
GENE498,0
GENE202,0
GENE153,0
GENE392,0
GENE84,0
GENE256,0
GENE324,0
GENE239,0
GENE214,0
GENE226,0
GENE225,0
GENE28,0
GENE188,0
GENE251,0
GENE347,0
GENE284,0
GENE30,0
GENE441,0
GENE27,0
GENE29,0
GENE250,0
GENE390,0
GENE264,0
GENE105,0
GENE1,0
GENE15,0
GENE82,0
GENE121,0
GENE275,0
GENE171,0
GENE421,0
GENE75,0
GENE350,0
GENE420,0
GENE266,0
GENE55,0
GENE151,0
GENE14,0
GENE165,0
GENE312,0
GENE473,0
GENE269,0
GENE446,0
GENE158,0
GENE414,0
GENE400,0
GENE409,0
GENE124,0
GENE252,0
GENE216,0
GENE166,0
GENE191,0
GENE139,0
GENE17,0
GENE404,0
GENE338,0
GENE430,0
GENE19,0
GENE231,0
GENE438,0
GENE182,0
GENE358,0
GENE154,0
GENE352,0
GENE196,0
GENE96,0
GENE54,0
GENE455,0
GENE204,0
GENE357,0
GENE313,0
GENE51,0
GENE318,0
GENE106,0
GENE109,0
GENE286,0
GENE69,0
GENE53,0
GENE450,0
GENE211,0
GENE369,0
GENE26,0
GENE314,0
GENE40,0
GENE346,0
GENE444,0
GENE301,0
GENE271,0
GENE388,0
GENE88,0
GENE98,0
GENE92,0
GENE468,0
GENE174,0
GENE102,0
GENE323,0
GENE428,0
GENE244,0
GENE44,0
GENE164,0
GENE353,0
GENE144,0
GENE427,0
GENE160,0
GENE487,0
GENE233,0
GENE290,0
GENE337,0
GENE470,0
GENE237,0
GENE297,0
GENE209,0
GENE133,0
GENE93,0
GENE186,0
GENE472,0
GENE99,0
GENE413,0
GENE113,0
GENE45,0
GENE268,0
GENE489,0
GENE345,0
GENE319,0
GENE432,0
GENE195,0
GENE453,0
GENE461,0
GENE302,0
GENE387,0
GENE77,0
GENE248,0
GENE72,0
GENE406,0
GENE3,0
GENE181,0
GENE317,0
GENE457,0
GENE306,0
GENE46,0
GENE360,0
GENE272,0
GENE482,0
GENE240,0
GENE454,0
GENE12,0
GENE447,0
GENE466,0
GENE422,0
GENE127,0
GENE230,0
GENE424,0
GENE140,0
GENE293,0
GENE227,0
GENE218,0
GENE476,0
GENE486,0
GENE440,0
GENE183,0
GENE39,0
GENE423,0
GENE258,0
GENE58,0
GENE200,0
GENE61,0
GENE380,0
GENE343,0
GENE41,0
GENE332,0
GENE13,0
GENE373,0
GENE405,0
GENE94,0
GENE198,0
GENE273,0
GENE362,0
GENE329,0
GENE442,0
GENE241,0
GENE143,0
GENE60,0
GENE464,0
GENE327,0
GENE11,0
GENE64,0
GENE136,0
GENE110,0
GENE85,0
GENE8,0
GENE456,0
GENE73,0
GENE215,0
GENE496,0
GENE246,0
GENE481,0
GENE162,0
