gene,phenotype_prob,rank
GENE351,0.85,1
GENE125,0.78,2
GENE379,0.765,3
GENE247,0.76,4
GENE485,0.76,5
GENE236,0.755,6
GENE37,0.75,7
GENE253,0.75,8
GENE310,0.745,9
GENE436,0.745,10
GENE147,0.745,11
GENE395,0.74,12
GENE410,0.74,13
GENE172,0.74,14
GENE437,0.735,15
GENE305,0.735,16
GENE159,0.735,17
GENE397,0.735,18
GENE330,0.735,19
GENE490,0.735,20
GENE114,0.73,21
GENE408,0.73,22
GENE189,0.725,23
GENE122,0.725,24
GENE142,0.725,25
GENE23,0.725,26
GENE381,0.725,27
GENE31,0.72,28
GENE47,0.71,29
GENE316,0.71,30
GENE478,0.71,31
GENE168,0.71,32
GENE259,0.71,33
GENE212,0.71,34
GENE232,0.71,35
GENE18,0.705,36
GENE483,0.705,37
GENE311,0.705,38
GENE148,0.705,39
GENE333,0.705,40
GENE465,0.705,41
GENE138,0.7,42
GENE169,0.695,43
GENE417,0.69,44
GENE6,0.69,45
GENE249,0.685,46
GENE377,0.68,47
GENE167,0.68,48
GENE9,0.68,49
GENE101,0.675,50
GENE117,0.675,51
GENE163,0.675,52
GENE4,0.675,53
GENE274,0.675,54
GENE391,0.67,55
GENE120,0.67,56
GENE384,0.665,57
GENE24,0.665,58
GENE475,0.665,59
GENE86,0.66,60
GENE398,0.66,61
GENE206,0.66,62
GENE484,0.66,63
GENE260,0.655,64
GENE348,0.655,65
GENE445,0.655,66
GENE223,0.65,67
GENE66,0.65,68
GENE342,0.645,69
GENE365,0.645,70
GENE131,0.635,71
GENE304,0.63,72
GENE493,0.625,73
GENE67,0.625,74
GENE340,0.61,75
GENE224,0.585,76
GENE285,0.58,77
GENE434,0.57,78
GENE190,0.44,79
GENE327,0.385,80
GENE463,0.385,81
GENE108,0.375,82
GENE61,0.37,83
GENE187,0.37,84
GENE200,0.35,85
GENE80,0.345,86
GENE62,0.345,87
GENE35,0.345,88
GENE233,0.345,89
GENE362,0.34,90
GENE264,0.335,91
GENE111,0.33,92
GENE326,0.325,93
GENE425,0.325,94
GENE207,0.325,95
GENE27,0.315,96
GENE263,0.315,97
GENE44,0.305,98
GENE414,0.305,99
GENE334,0.3,100
GENE343,0.295,101
GENE194,0.295,102
GENE254,0.29,103
GENE427,0.29,104
GENE415,0.275,105
GENE17,0.26,106
GENE499,0.25,107
GENE380,0.25,108
GENE178,0.245,109
GENE312,0.245,110
GENE201,0.245,111
GENE1,0.24,112
GENE89,0.23,113
GENE335,0.225,114
GENE99,0.22,115
GENE491,0.22,116
GENE444,0.215,117
GENE290,0.215,118
GENE430,0.21,119
GENE90,0.21,120
GENE268,0.21,121
GENE198,0.205,122
GENE376,0.205,123
GENE487,0.2,124
GENE373,0.2,125
GENE389,0.195,126
GENE231,0.195,127
GENE248,0.195,128
GENE48,0.195,129
GENE235,0.195,130
GENE309,0.195,131
GENE421,0.195,132
GENE28,0.19,133
GENE56,0.19,134
GENE432,0.19,135
GENE453,0.19,136
GENE480,0.185,137
GENE164,0.185,138
GENE467,0.18,139
GENE14,0.18,140
GENE322,0.18,141
GENE171,0.18,142
GENE403,0.18,143
GENE320,0.18,144
GENE321,0.175,145
GENE70,0.175,146
GENE58,0.175,147
GENE409,0.17,148
GENE324,0.17,149
GENE296,0.17,150
GENE211,0.17,151
GENE119,0.17,152
GENE387,0.17,153
GENE325,0.17,154
GENE13,0.165,155
GENE219,0.165,156
GENE318,0.16,157
GENE38,0.16,158
GENE449,0.16,159
GENE74,0.16,160
GENE127,0.155,161
GENE55,0.155,162
GENE184,0.155,163
GENE294,0.155,164
GENE303,0.155,165
GENE145,0.155,166
GENE133,0.155,167
GENE252,0.15,168
GENE29,0.15,169
GENE472,0.15,170
GENE115,0.15,171
GENE435,0.145,172
GENE364,0.145,173
GENE279,0.145,174
GENE289,0.145,175
GENE68,0.14,176
GENE217,0.14,177
GENE270,0.14,178
GENE76,0.14,179
GENE352,0.14,180
GENE51,0.14,181
GENE283,0.135,182
GENE458,0.135,183
GENE173,0.135,184
GENE341,0.135,185
GENE388,0.135,186
GENE20,0.135,187
GENE394,0.13,188
GENE355,0.13,189
GENE161,0.13,190
GENE166,0.13,191
GENE16,0.13,192
GENE486,0.13,193
GENE358,0.13,194
GENE222,0.13,195
GENE243,0.13,196
GENE96,0.13,197
GENE88,0.125,198
GENE474,0.125,199
GENE400,0.125,200
