gene,link_score,rank,is_known
GENE127,3.873038034287791e-16,1,True
GENE239,3.3470337504164227e-16,2,False
GENE58,3.2237396346140867e-16,3,True
GENE259,2.9566193243679706e-16,4,False
GENE264,2.2319656973329716e-16,5,False
GENE292,1.8622866378333047e-16,6,False
GENE147,1.6263794916935095e-16,7,True
GENE2,1.5965554616206856e-16,8,False
GENE45,1.5455301968780866e-16,9,False
GENE275,1.4848911081841512e-16,10,True
GENE215,1.445080559663199e-16,11,True
GENE230,1.404990490269653e-16,12,False
GENE213,1.355913401305739e-16,13,True
GENE123,1.263523282583976e-16,14,True
GENE234,1.2321957690297758e-16,15,False
GENE242,1.224945167001279e-16,16,True
GENE241,1.2107245426080633e-16,17,False
GENE189,1.1886582755409048e-16,18,True
GENE170,1.1854395503413384e-16,19,False
GENE187,1.174902460477495e-16,20,False
GENE73,1.1641620827063104e-16,21,True
GENE63,1.1508721357638904e-16,22,False
GENE106,1.1499996918282185e-16,23,True
GENE299,1.1480684567084787e-16,24,True
GENE13,1.1321103559822077e-16,25,False
GENE185,1.0839988845781634e-16,26,True
GENE168,1.016761409225117e-16,27,False
GENE46,1.0044286095130944e-16,28,False
GENE282,9.906219724728493e-17,29,False
GENE69,9.88589093399439e-17,30,False
GENE122,9.258408926668404e-17,31,True
GENE116,9.147024094104464e-17,32,False
GENE65,9.122883655107716e-17,33,False
GENE253,8.956695790856423e-17,34,False
GENE54,8.720373598572473e-17,35,False
GENE212,8.668196369021608e-17,36,False
GENE31,8.41256182554026e-17,37,False
GENE145,8.298720597429282e-17,38,False
GENE176,7.873679464497074e-17,39,True
GENE101,7.808966147326846e-17,40,False
GENE297,7.61076043766934e-17,41,False
GENE250,6.968031837292776e-17,42,False
GENE227,6.663777602639032e-17,43,True
GENE277,6.524864199289326e-17,44,False
GENE174,6.447143632422824e-17,45,False
GENE14,6.256058293478174e-17,46,False
GENE8,6.242802227853644e-17,47,False
GENE201,4.9873299934333204e-17,48,False
GENE164,4.9422678406393916e-17,49,False
GENE298,4.9024572921184395e-17,50,False
GENE75,4.8429320517501435e-17,51,False
GENE26,4.443873654474961e-17,52,False
GENE251,4.2546464940583506e-17,53,False
GENE202,4.167063287312256e-17,54,False
GENE291,4.1557130458190483e-17,55,False
GENE273,4.0247617521735335e-17,56,False
GENE247,4.016503180937804e-17,57,False
GENE289,4.0139197304486784e-17,58,False
GENE59,3.977582017011469e-17,59,False
GENE196,3.6786640899254264e-17,60,False
GENE86,3.6263174537851106e-17,61,True
GENE217,3.5719379385713845e-17,62,False
GENE97,2.7816561987831223e-17,63,False
