node_id,node_type
GENE0,gene
GENE1,gene
GENE2,gene
GENE3,gene
GENE4,gene
GENE5,gene
GENE6,gene
GENE7,gene
GENE8,gene
GENE9,gene
GENE10,gene
GENE11,gene
GENE12,gene
GENE13,gene
GENE14,gene
GENE15,gene
GENE16,gene
GENE17,gene
GENE18,gene
GENE19,gene
GENE20,gene
GENE21,gene
GENE22,gene
GENE23,gene
GENE24,gene
GENE25,gene
GENE26,gene
GENE27,gene
GENE28,gene
GENE29,gene
GENE30,gene
GENE31,gene
GENE32,gene
GENE33,gene
GENE34,gene
GENE35,gene
GENE36,gene
GENE37,gene
GENE38,gene
GENE39,gene
GENE40,gene
GENE41,gene
GENE42,gene
GENE43,gene
GENE44,gene
GENE45,gene
GENE46,gene
GENE47,gene
GENE48,gene
GENE49,gene
GENE50,gene
GENE51,gene
GENE52,gene
GENE53,gene
GENE54,gene
GENE55,gene
GENE56,gene
GENE57,gene
GENE58,gene
GENE59,gene
GENE60,gene
GENE61,gene
GENE62,gene
GENE63,gene
GENE64,gene
GENE65,gene
GENE66,gene
GENE67,gene
GENE68,gene
GENE69,gene
GENE70,gene
GENE71,gene
GENE72,gene
GENE73,gene
GENE74,gene
GENE75,gene
GENE76,gene
GENE77,gene
GENE78,gene
GENE79,gene
GENE80,gene
GENE81,gene
GENE82,gene
GENE83,gene
GENE84,gene
GENE85,gene
GENE86,gene
GENE87,gene
GENE88,gene
GENE89,gene
GENE90,gene
GENE91,gene
GENE92,gene
GENE93,gene
GENE94,gene
GENE95,gene
GENE96,gene
GENE97,gene
GENE98,gene
GENE99,gene
GENE100,gene
GENE101,gene
GENE102,gene
GENE103,gene
GENE104,gene
GENE105,gene
GENE106,gene
GENE107,gene
GENE108,gene
GENE109,gene
GENE110,gene
GENE111,gene
GENE112,gene
GENE113,gene
GENE114,gene
GENE115,gene
GENE116,gene
GENE117,gene
GENE118,gene
GENE119,gene
GENE120,gene
GENE121,gene
GENE122,gene
GENE123,gene
GENE124,gene
GENE125,gene
GENE126,gene
GENE127,gene
GENE128,gene
GENE129,gene
GENE130,gene
GENE131,gene
GENE132,gene
GENE133,gene
GENE134,gene
GENE135,gene
GENE136,gene
GENE137,gene
GENE138,gene
GENE139,gene
GENE140,gene
GENE141,gene
GENE142,gene
GENE143,gene
GENE144,gene
GENE145,gene
GENE146,gene
GENE147,gene
GENE148,gene
GENE149,gene
GENE150,gene
GENE151,gene
GENE152,gene
GENE153,gene
GENE154,gene
GENE155,gene
GENE156,gene
GENE157,gene
GENE158,gene
GENE159,gene
GENE160,gene
GENE161,gene
GENE162,gene
GENE163,gene
GENE164,gene
GENE165,gene
GENE166,gene
GENE167,gene
GENE168,gene
GENE169,gene
GENE170,gene
GENE171,gene
